학년도,학교급별,학년,성별,키
2016,초,6,남,142.9
2016,초,6,남,145.4
2016,초,6,남,136.6
2016,초,6,남,143.3
2016,초,6,남,145.1
2016,초,6,여,157.7
2016,초,6,여,158.3
2016,초,6,여,145.4
2016,초,6,여,156
2016,초,6,여,146.6
2016,초,6,여,157
2016,초,6,여,162.8
2016,초,1,남,118
2016,초,1,남,124
2016,초,1,남,119.5
2016,초,1,남,116.5
2016,초,1,남,111.7
2016,초,1,남,124.5
2016,초,1,남,121.7
2016,초,1,남,115.6
2016,초,1,남,116.8
2016,초,1,남,119.3
2016,초,1,남,118.2
2016,초,1,남,124.6
2016,초,1,남,116.8
2016,초,1,남,129
2016,초,1,남,124.1
2016,초,1,여,118
2016,초,1,여,118.2
2016,초,1,여,116.2
2016,초,1,여,121.6
2016,초,1,여,113.1
2016,초,1,여,113.1
2016,초,1,여,119.6
2016,초,1,여,119.4
2016,초,1,여,127.6
2016,초,1,여,123.2
2016,초,1,여,115.7
2016,초,1,여,128.7
2016,초,1,여,122
2016,초,2,남,140.4
2016,초,2,남,131.6
2016,초,2,남,127
2016,초,2,남,125.3
2016,초,2,남,128.1
2016,초,2,남,138
2016,초,2,남,136.8
2016,초,2,남,134.6
2016,초,2,남,128.8
2016,초,2,남,125.2
2016,초,2,남,130.6
2016,초,2,남,127.1
2016,초,2,남,122.7
2016,초,2,남,119.6
2016,초,2,남,130.8
2016,초,2,남,124.8
2016,초,2,남,135.4
2016,초,2,여,123.8
2016,초,2,여,122.8
2016,초,2,여,128.9
2016,초,2,여,122.5
2016,초,2,여,120.3
2016,초,2,여,132.9
2016,초,2,여,120.9
2016,초,2,여,133.7
2016,초,2,여,127.6
2016,초,2,여,124.6
2016,초,2,여,123.8
2016,초,2,여,132.6
2016,초,3,남,137.6
2016,초,3,남,136.8
2016,초,3,남,146.5
2016,초,3,남,150.3
2016,초,3,남,141.8
2016,초,3,남,137.8
2016,초,3,남,135.3
2016,초,3,남,134.2
2016,초,3,남,142.6
2016,초,3,남,138.5
2016,초,3,남,133.4
2016,초,3,여,132.8
2016,초,3,여,135.5
2016,초,3,여,131.2
2016,초,3,여,123.8
2016,초,3,여,137.6
2016,초,3,여,124.2
2016,초,3,여,136.4
2016,초,3,여,127.3
2016,초,3,여,134.1
2016,초,3,여,138.1
2016,초,3,여,139.6
2016,초,3,여,130.3
2016,초,3,여,135.2
2016,초,3,여,122.6
2016,초,3,여,128.9
2016,초,4,남,139.7
2016,초,4,남,135.6
2016,초,4,남,138.3
2016,초,4,남,130.3
2016,초,4,남,140
2016,초,4,남,143
2016,초,4,남,134.1
2016,초,4,남,136.2
2016,초,4,남,137.2
2016,초,4,남,135.4
2016,초,4,남,139.6
2016,초,4,남,136.8
2016,초,4,남,147.8
2016,초,4,남,146.7
2016,초,4,여,134.5
2016,초,4,여,129.5
2016,초,4,여,138.2
2016,초,4,여,130.3
2016,초,4,여,129.8
2016,초,4,여,133
2016,초,4,여,133.3
2016,초,4,여,142.3
2016,초,4,여,139.6
2016,초,4,여,144.3
2016,초,4,여,139.7
2016,초,4,여,129
2016,초,4,여,136.1
2016,초,4,여,133.7
2016,초,4,여,136.4
2016,초,5,남,134.2
2016,초,5,남,144.5
2016,초,5,남,146.4
2016,초,5,남,156.8
2016,초,5,남,151.9
2016,초,5,남,134.9
2016,초,5,남,144.3
2016,초,5,남,149
2016,초,5,남,139.3
2016,초,5,남,129.5
2016,초,5,남,145.2
2016,초,5,남,148.8
2016,초,5,남,139.6
2016,초,5,남,140.4
2016,초,5,남,139.2
2016,초,5,여,141.7
2016,초,5,여,152.8
2016,초,5,여,155.1
2016,초,5,여,138.8
2016,초,5,여,149.7
2016,초,5,여,136.5
2016,초,5,여,138.1
2016,초,5,여,144.8
2016,초,5,여,135.5
2016,초,5,여,143.1
2016,초,5,여,150.8
2016,초,5,여,138.5
2016,초,5,여,143.7
2016,초,6,남,156.6
2016,초,6,남,171
2016,초,6,남,146.3
2016,초,6,남,138.8
2016,초,6,남,155.3
2016,초,6,남,149.8
2016,초,6,남,144.2
2016,초,6,남,159
2016,초,6,남,148.8
2016,초,6,남,162.6
2016,초,6,남,147
2016,초,6,남,149.1
2016,초,6,남,147.8
2016,초,6,여,157.7
2016,초,6,여,159.1
2016,초,6,여,148.2
2016,초,6,여,151.2
2016,초,6,여,154.5
2016,초,6,여,150.5
2016,초,6,여,150.9
2016,초,6,여,148.6
2016,초,6,여,148.7
2016,초,6,여,151.2
2016,초,6,여,159.1
2016,초,6,여,160.2
2016,초,6,여,160.8
2016,초,6,여,149.4
2016,초,1,남,117
2016,초,1,남,128
2016,초,1,남,119.5
2016,초,1,남,123.1
2016,초,1,남,123.3
2016,초,1,남,121.8
2016,초,1,남,125.1
2016,초,1,남,127.6
2016,초,1,남,116.6
2016,초,1,남,121
2016,초,1,남,128.4
2016,초,1,남,121.5
2016,초,1,여,126.8
2016,초,1,여,120.4
2016,초,1,여,121.2
2016,초,1,여,116.3
2016,초,1,여,117.4
2016,초,1,여,114.7
2016,초,1,여,118.3
2016,초,1,여,120.2
2016,초,1,여,129.1
2016,초,1,여,125.3
2016,초,1,여,121.6
2016,초,1,여,124.9
2016,초,2,남,131.8
2016,초,2,남,134.2
2016,초,2,남,131.1
